"id[String]","incidence[Int]","rewards[String]"
"Coins","1","Material(Coins=RNG[10-30])"
"CoinsPlusMat","3","Material(Coins=RNG[4-12]), Wait(1), Ref(RndRare)"
"CommonPlusRare","0","Ref(RndCommon), Wait(1), Ref(RndRare)"
"RndCommon","0","Ref(Wood | Metal | Leather | Silk | Cotton | Linen)"
"RndRare","0","Ref(Bone | Demonhide | Dragonskin)"
"Bone","0","Material(Bone=1)"
"Demonhide","0","Material(Demonhide=1)"
"Dragonskin","0","Material(Dragonskin=1)"
"Wood","0","Material(Wood=RNG[1-3])"
"Metal","0","Material(Metal=RNG[1-3])"
"Leather","0","Material(Leather=RNG[1-3])"
"Silk","0","Material(Silk=RNG[1-3])"
"Cotton","0","Material(Cotton=RNG[1-3])"
"Linen","0","Material(Linen=RNG[1-3])"
"Incense","0","TODO ?QuestComplete=Study:Material(Incense=1)"
